 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73
434	855.274	934.496	1103.792	867.701	3177.630	775.881	2014.041	623.751	861.979	546.329	627.838	2053.086	1179.339	1073.014	753.631	555.008	577.020	764.075	538.483	457.897	716.816	821.460	762.417	1436.807	1001.522	752.073	1032.830	764.402	1323.222	1935.778	936.550	797.423	885.356	1039.985	1444.978	1506.106	1088.131	723.227	815.405	1389.952	1014.586	1008.711	1078.970	1466.362	851.990	942.127	1166.842	1123.698	926.489	967.467	912.545	1003.583	939.972	843.911	730.071	686.242	852.820	1237.769	724.324	1143.862	758.643	660.008	584.651	467.685	1018.779	838.420	885.920	900.568	703.994	799.942	1241.335	943.187	1120.871
435	836.580	990.106	1121.145	879.715	3201.693	770.432	1868.175	635.402	775.255	512.880	601.838	2037.259	1180.432	994.274	738.882	507.452	546.735	752.377	538.322	457.619	742.014	806.735	765.296	1357.671	958.990	826.132	1049.132	784.616	1278.683	1923.859	896.345	786.598	842.675	1025.236	1355.844	1411.240	1112.737	726.165	829.426	1374.407	1009.759	1025.383	1163.670	1519.672	858.124	944.810	1204.632	1165.823	928.573	976.492	914.640	980.343	917.348	844.137	725.302	719.539	829.395	1231.638	744.402	1082.670	759.732	648.125	568.462	473.733	1035.123	846.829	887.153	929.081	735.958	843.031	1262.743	922.878	1184.009
436	815.994	942.009	1100.040	875.457	3196.766	763.830	1699.234	605.429	656.641	518.683	609.603	2040.184	1166.940	926.918	756.887	517.040	524.762	759.342	554.199	466.356	695.609	814.564	767.552	1305.164	939.337	873.603	1031.808	796.694	1304.467	1921.530	900.410	788.664	848.074	1034.892	1322.022	1317.293	1138.006	736.682	852.392	1327.758	1061.946	1031.539	1184.754	1451.855	854.809	965.111	1190.095	1149.531	916.987	977.303	915.920	906.588	936.138	854.032	736.639	701.836	853.560	1217.956	738.039	1031.034	769.981	672.067	554.242	484.323	1080.773	862.094	891.574	948.899	739	849.356	1286.147	924.857	1129.187
437	801.401	919.257	1084.370	859.729	3186.568	752.676	1595.637	608.556	605.641	512.263	579.250	1998.989	1150.404	890.062	736.985	498.206	523.033	756.663	533.578	462.433	691.132	799.981	735.561	1233.279	921.332	840.265	1024.099	774.256	1273.755	1909.357	857.680	782.280	821.951	1014.847	1255.552	1225.512	1104.806	710.614	803.520	1278.148	1023.103	1059.273	1146.326	1360.459	833.361	912.138	1155.200	1125.260	889.440	980.615	888.371	887.306	907.276	850.447	724.740	699.267	840.120	1185.987	730.809	975.990	739.070	650.125	567.083	491.876	1073.681	811.956	840.142	930.669	735.830	822.754	1249.908	912.604	1131.680
438	801.783	907.018	1059.156	796.462	3172.714	744.420	1476.678	605.905	563.628	492.024	592.066	1952.092	1123.087	841	727.338	483.532	541.013	748.457	547.521	448.990	684.146	816.052	733.413	1231.750	902.429	863.099	969.918	778.265	1205.952	1924.924	878.185	773.811	817.785	999.798	1236.474	1116.411	1091.526	716.682	796.615	1223.282	1028.611	1034.039	1134.337	1258.536	800.799	893.603	1125.610	1092.479	850.649	941.333	889.076	844.982	876.254	817.253	701.876	694.224	799.685	1190.245	717.618	939.813	712.860	633.600	562.818	453.207	1058.227	792.580	858.824	911.020	729.861	807.403	1238.537	900.135	1101.320
439	779.701	905.407	1056.439	796.566	3102.854	725.864	1355.275	629.376	524.372	491.222	573.088	1840.172	1088.913	843.611	732.395	477.024	531.834	788.995	549.289	447.876	684.363	784.758	715.386	1204.943	887.980	974.444	966.434	791.794	1202.635	1795.308	871.145	771.455	830.841	1035.956	1187.317	1072.524	1098.766	722.312	818.581	1180.140	1059.315	983.031	1111.663	1206	828.459	887.328	1099.832	1081.849	845.213	945.564	875.095	835.171	881.967	813.368	692.136	675.636	834.680	1265.659	718.270	937.246	685.688	626.892	558.712	456.641	1082.509	803.696	847.659	881.115	743.818	819.236	1263.989	891.787	1046.600
440	842.102	917.283	1105.098	848.606	2995.938	733.983	1341.661	654.899	515.469	481.778	582.199	1809.684	1095.962	881.635	816.138	509.452	583.728	915.698	561.161	443.665	687.679	802.640	736.561	1210.357	903.210	979.252	941.011	788.626	1221.743	1734.070	873.355	790.227	862.503	1099.286	1180.283	1152.081	1148.514	728.756	820.405	1114.655	1124.936	961.625	1141.636	1224.459	834.273	906.487	1143.258	1135.469	854.533	955.441	895.625	870.662	906.088	823.195	711.521	701.545	842.750	1387.349	716.299	984.823	703.732	660.117	616.856	474.231	1166.227	826.033	881	915.480	736.770	806.984	1349.040	912.930	1045.871
441	994.675	1008	1384.399	901.240	3159.427	802.119	1529.023	715.979	511.421	526.258	640.699	1930.132	1194	1003.481	860.005	550.897	720.702	932.683	600.569	500.459	748.208	875.834	804.031	1228.764	941.268	1064.503	1069.440	862.457	1252.940	1901.254	1005.575	859.213	930.558	1259.271	1452.561	1217.760	1164.857	780.551	963.459	1640.191	1234.517	1105.711	1384.080	1334.874	1023.103	1104.190	1197.510	1227.943	954.876	1002.015	931.029	1002.477	968.812	918.411	798.249	749.388	891.360	1496.231	784.230	1086.049	809.847	717.583	695.174	537.295	1215.865	898.746	922.466	1065.628	794.079	873.304	1376.448	1036.665	1122.773
442	1495.026	1208.814	1652.231	971.909	3182.312	951.415	1571.404	800.762	554.848	597.281	720.353	2130.396	1368.366	1570.399	1098.462	720.738	775.470	930.090	748.536	611.825	825.302	994.668	923.013	1442.214	1114.312	1168.477	1354.423	944.082	1386.461	2191.708	1188.485	1016.399	1086.595	1594.153	2176.122	1291.663	1321.989	912.801	1219.149	2741.031	1493.433	1391.016	1789.898	1494	1210.227	1339.857	1320.758	1488.984	1259.053	1141.800	1066.098	1097.792	1100.961	1057.932	901.888	871.261	963.825	1751.655	950.044	1216.163	930.809	813.558	795.955	672.092	1360.037	1021.928	1056.375	1293.149	937.461	986.162	1451.489	1259.778	1300.111
443	1707.401	1247.451	1742.590	1088.181	3126.406	1000.278	1579.696	946.074	582.731	626.329	744.507	2181.184	1552.328	2101.644	1316.969	1128.889	850.053	990.452	808.735	668.201	874.321	1090.166	991.991	2252.021	1408.941	1451.828	1425.505	1030.868	1502.790	2221.681	1263.595	1058.241	1157.380	1651.847	2257.826	1249.874	1323.503	951.517	1290.608	2974.405	1574.699	1442.477	1803.307	1582.444	1192.917	1409.646	1389.053	1496.146	1278.302	1253.426	1127.215	1237.653	1210.663	1124.874	983.734	985.073	1089.155	1915.066	987.755	1296.232	1030.879	885.675	854.099	783.661	1346.656	1074.221	1148.824	1428.088	1014.673	1091.743	1543.077	1300.948	1388.338
